,iso_code,year,percent
375,ECU,2017,14.88610066
376,ERI,2010,45.2271386
377,ERI,2011,45.25744675
378,ERI,2012,46.13384645
379,ERI,2013,47.62781596
380,ERI,2014,44.37494629
381,ERI,2015,49.82891214
382,ERI,2016,48.67093668
383,ERI,2017,48.03019868
384,ESP,2010,11.3493291
385,ESP,2011,12.03799789
386,ESP,2012,11.14962332
387,ESP,2013,10.74258206
388,ESP,2014,10.07458883
389,ESP,2015,10.44910241
390,ESP,2016,9.704138553
391,ESP,2017,9.697927863
392,EST,2010,8.519848763
393,EST,2011,8.442558919
394,EST,2012,7.810698651
395,EST,2013,7.482813578
396,EST,2014,7.705552572
397,EST,2015,7.003727673
398,EST,2016,6.821448031
399,EST,2017,6.732124015
400,ETH,2010,35.63414541
401,ETH,2011,36.31794195
402,ETH,2012,35.97384213
403,ETH,2013,35.88420536
404,ETH,2014,35.04359745
405,ETH,2015,38.85860469
406,ETH,2016,39.24503758
407,ETH,2017,38.97873776
408,FIN,2010,7.190331396
409,FIN,2011,7.283699708
410,FIN,2012,6.601133581
411,FIN,2013,6.278689198
412,FIN,2014,6.468639868
413,FIN,2015,6.063834353
414,FIN,2016,5.893757483
415,FIN,2017,5.861331001
416,FJI,2010,13.53381346
417,FJI,2011,13.83646142
418,FJI,2012,12.85205328
419,FJI,2013,12.14461761
420,FJI,2014,11.92289283
421,FJI,2015,11.64194513
422,FJI,2016,11.05934316
423,FJI,2017,10.8401599
424,FRA,2010,14.84562127
425,FRA,2011,14.87801926
426,FRA,2012,13.83475371
427,FRA,2013,13.5943087
428,FRA,2014,12.28970307
429,FRA,2015,12.74570798
430,FRA,2016,11.85518422
431,FRA,2017,11.81496362
432,GAB,2010,40.27757856
433,GAB,2011,41.13028375
434,GAB,2012,40.8140906
435,GAB,2013,40.72566252
436,GAB,2014,41.31956969
437,GAB,2015,44.09590117
438,GAB,2016,43.72065291
439,GAB,2017,44.38554846
440,GEO,2010,26.10123773
441,GEO,2011,26.78360332
442,GEO,2012,25.00284928
443,GEO,2013,23.91020353
444,GEO,2014,22.96670742
445,GEO,2015,24.25264627
446,GEO,2016,21.82963618
447,GEO,2017,22.19605462
448,GHA,2010,27.36828359
449,GHA,2011,28.21169897
450,GHA,2012,28.89742723
451,GHA,2013,27.81534006
452,GHA,2014,25.8895233
453,GHA,2015,34.68190071
454,GHA,2016,36.25265622
455,GHA,2017,34.7135141
456,GIN,2010,21.97102786
457,GIN,2011,22.44535934
458,GIN,2012,22.98996509
459,GIN,2013,21.25856145
460,GIN,2014,21.19667275
461,GIN,2015,26.94288524
462,GIN,2016,24.77771417
463,GIN,2017,26.0624902
464,GNB,2010,26.83635957
465,GNB,2011,27.38943995
466,GNB,2012,27.0902178
467,GNB,2013,26.52420728
468,GNB,2014,26.94095978
469,GNB,2015,31.79127202
470,GNB,2016,29.58586773
471,GNB,2017,29.77470228
472,GNQ,2010,46.18648655
473,GNQ,2011,46.85258767
474,GNQ,2012,45.23237247
475,GNQ,2013,43.62579322
476,GNQ,2014,44.30179969
477,GNQ,2015,52.63437057
478,GNQ,2016,54.50903017
479,GNQ,2017,53.24062104
480,GRC,2010,19.06108814
481,GRC,2011,20.00154124
482,GRC,2012,18.4207689
483,GRC,2013,17.77941628
484,GRC,2014,17.36504185
485,GRC,2015,17.74055711
486,GRC,2016,16.3289203
487,GRC,2017,16.21826638
488,GRD,2010,27.47290781
489,GRD,2011,28.13951521
490,GRD,2012,26.46891843
491,GRD,2013,25.84730814
492,GRD,2014,24.28703113
493,GRD,2015,24.16278293
494,GRD,2016,22.88869124
495,GRD,2017,22.72268748
496,GRL,2010,13.92232395
497,GRL,2011,14.09660544
498,GRL,2012,13.40669025
499,GRL,2013,12.75796756
500,GRL,2014,12.51054773
501,GRL,2015,11.76203951
502,GRL,2016,11.57250485
503,GRL,2017,11.60217946
504,GTM,2010,29.98259025
505,GTM,2011,31.72733122
506,GTM,2012,29.88625889
507,GTM,2013,30.05682402
508,GTM,2014,26.52785542
509,GTM,2015,25.0727261
510,GTM,2016,23.79782877
511,GTM,2017,24.07064893
512,GUM,2010,13.88834049
513,GUM,2011,14.1035329
514,GUM,2012,13.24230178
515,GUM,2013,12.78879461
516,GUM,2014,12.02255289
517,GUM,2015,12.53178352
518,GUM,2016,11.65176784
519,GUM,2017,11.63440681
520,GUY,2010,27.31186474
521,GUY,2011,27.92942466
522,GUY,2012,26.90129942
523,GUY,2013,24.85550257
524,GUY,2014,23.64826569
525,GUY,2015,23.88788174
526,GUY,2016,22.37149881
527,GUY,2017,22.37557463
528,HND,2010,26.88295242
529,HND,2011,28.90074716
530,HND,2012,27.44714935
531,HND,2013,27.68413611
532,HND,2014,23.16154008
533,HND,2015,22.40619622
534,HND,2016,21.08695992
535,HND,2017,20.62885065
536,HRV,2010,21.33471864
537,HRV,2011,21.96600369
538,HRV,2012,20.2024228
539,HRV,2013,19.58696201
540,HRV,2014,18.43310352
541,HRV,2015,19.20668151
542,HRV,2016,17.78931891
543,HRV,2017,17.90177229
544,HTI,2010,17.7952414
545,HTI,2011,18.75791703
546,HTI,2012,17.48024488
547,HTI,2013,16.76701123
548,HTI,2014,16.26222456
549,HTI,2015,15.5402773
550,HTI,2016,15.08648313
551,HTI,2017,15.01982438
552,HUN,2010,19.13552438
553,HUN,2011,19.36069
554,HUN,2012,17.52996008
555,HUN,2013,17.2318312
556,HUN,2014,16.31532793
557,HUN,2015,17.23213014
558,HUN,2016,15.88535024
559,HUN,2017,15.92604819
560,IDN,2010,18.16928033
561,IDN,2011,18.04965117
562,IDN,2012,18.17016951
563,IDN,2013,16.87918132
564,IDN,2014,16.45463183
565,IDN,2015,16.64028042
566,IDN,2016,16.38415363
567,IDN,2017,16.5026533
568,IND,2010,95.75817945
569,IND,2011,97.59937863
570,IND,2012,88.1694406
571,IND,2013,91.80479161
572,IND,2014,89.62238269
573,IND,2015,89.3033343
574,IND,2016,89.67217693
575,IND,2017,90.87321047
576,IRL,2010,9.976375087
577,IRL,2011,10.28507938
578,IRL,2012,9.522691993
579,IRL,2013,9.360153635
580,IRL,2014,8.750521533
581,IRL,2015,8.672473458
582,IRL,2016,8.279163345
583,IRL,2017,8.208576735
584,IRQ,2010,68.71140482
585,IRQ,2011,66.36260979
586,IRQ,2012,66.84207687
587,IRQ,2013,63.80269591
588,IRQ,2014,56.56703027
589,IRQ,2015,66.26503791
590,IRQ,2016,63.95479607
591,IRQ,2017,61.63623571
592,ISL,2010,7.856536667
593,ISL,2011,8.098884846
594,ISL,2012,7.33692926
595,ISL,2013,7.171207035
596,ISL,2014,6.948896646
597,ISL,2015,6.927968941
598,ISL,2016,6.60765416
599,ISL,2017,6.481147263
600,ISR,2010,24.01923772
601,ISR,2011,23.90468673
602,ISR,2012,23.03884904
603,ISR,2013,22.94633022
604,ISR,2014,22.05914688
605,ISR,2015,22.7797827
606,ISR,2016,20.76570151
607,ISR,2017,21.38110224
608,ITA,2010,19.02523065
609,ITA,2011,19.99426671
610,ITA,2012,18.10524741
611,ITA,2013,17.75772244
612,ITA,2014,17.76927084
613,ITA,2015,17.89144517
614,ITA,2016,16.49037374
615,ITA,2017,16.75071194
616,JAM,2010,16.09171498
617,JAM,2011,16.54249891
618,JAM,2012,15.46047097
619,JAM,2013,14.93139975
620,JAM,2014,14.07433169
621,JAM,2015,14.1766593
