iso_code,year,oil_co2_per_capita,oil_co2,share_global_oil_co2,cumulative_oil_co2,share_global_cumulative_oil_co2,co2_growth_abs,co2_per_capita,co2,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_growth_prct,population,AvgYearlyTemp,AvgTempUncertainty
AZE,1864,0.006,0.008,0.74,0.031,0.58,0.001,0.009,0.012,0.0,0.074,0.0,12.16,1315923.0,10.617083333333335,1.3389166666666668
BLR,1864,0.002,0.005,0.49,0.017,0.32,0.003,0.007,0.025,0.01,0.154,0.0,12.16,3524143.0,4.581833333333333,1.0437500000000002
CAN,1864,0.01,0.037,3.3,0.077,1.47,0.139,0.24,0.843,0.21,4.88,0.06,19.79,3509967.0,-5.450916666666667,2.3073333333333337
EST,1864,0.0,0.0,0.01,0.0,0.01,0.001,0.016,0.009,0.0,0.056,0.0,12.16,566906.0,4.071,0.9746666666666663
FRA,1864,0.002,0.055,4.95,0.465,8.84,2.642,1.246,46.83,11.5,823.07,9.29,5.98,37599408.0,12.087333333333335,1.2780833333333332
GEO,1864,0.0,0.001,0.05,0.002,0.03,0.0,0.002,0.004,0.0,0.023,0.0,12.16,1602272.0,7.790249999999999,1.3456666666666666
ITA,1864,0.0,0.004,0.33,0.004,0.07,0.535,0.06,1.605,0.39,4.602,0.05,50.0,26729079.0,11.984666666666664,1.0315
KAZ,1864,0.0,0.001,0.07,0.002,0.04,0.007,0.02,0.06,0.01,0.369,0.0,12.16,3040174.0,4.466333333333334,2.2415833333333333
KGZ,1864,0.0,0.0,0.02,0.001,0.01,0.001,0.007,0.005,0.0,0.033,0.0,12.16,791535.0,2.363333333333333,2.634583333333333
LTU,1864,0.001,0.002,0.17,0.006,0.11,0.001,0.006,0.009,0.0,0.058,0.0,12.17,1486273.0,4.661333333333332,0.9658333333333334
LVA,1864,0.001,0.001,0.09,0.003,0.06,0.001,0.005,0.006,0.0,0.037,0.0,12.15,1205452.0,4.3695,0.9411666666666668
NLD,1864,0.008,0.026,2.31,0.037,0.7,-0.682,0.993,3.404,0.84,77.036,0.87,-16.68,3427036.0,8.143583333333334,1.017
ROU,1864,0.002,0.015,1.32,0.055,1.04,0.004,0.002,0.015,0.0,0.055,0.0,33.33,8789527.0,7.475000000000001,1.5508333333333333
SWE,1864,0.001,0.004,0.33,0.004,0.07,0.051,0.262,1.037,0.25,9.574,0.11,5.2,3957978.0,1.137416666666667,1.07075
TJK,1864,0.0,0.0,0.03,0.001,0.02,0.0,0.004,0.003,0.0,0.019,0.0,12.17,695730.0,3.1808333333333327,2.47975
TKM,1864,0.004,0.002,0.18,0.006,0.12,0.001,0.014,0.008,0.0,0.047,0.0,12.15,548280.0,13.95075,2.398333333333333
UKR,1864,0.0,0.003,0.28,0.009,0.17,0.019,0.01,0.177,0.04,1.078,0.01,12.16,16802468.0,6.512416666666667,1.0411666666666666
UZB,1864,0.001,0.004,0.35,0.012,0.23,0.003,0.009,0.025,0.01,0.151,0.0,12.16,2858253.0,11.407666666666666,2.7110000000000003
ARM,1865,0.0,0.0,0.02,0.001,0.02,0.0,0.003,0.002,0.0,0.015,0.0,-4.45,621366.0,8.37175,1.2616666666666667
AUT,1865,0.002,0.007,0.56,0.018,0.28,0.278,1.223,5.353,1.24,103.295,1.11,5.49,4376588.0,6.236166666666667,0.8913333333333332
AZE,1865,0.006,0.008,0.63,0.039,0.59,-0.001,0.009,0.012,0.0,0.085,0.0,-4.41,1328037.0,10.862083333333336,1.2485
BLR,1865,0.002,0.006,0.45,0.023,0.35,-0.001,0.007,0.024,0.01,0.179,0.0,-4.42,3556750.0,5.231333333333333,0.994166666666667
CAN,1865,0.013,0.048,3.61,0.125,1.89,0.176,0.287,1.019,0.24,5.899,0.06,20.87,3549352.0,-5.56775,2.172666666666667
DEU,1865,0.001,0.037,2.78,0.037,0.56,6.826,1.681,63.468,14.68,790.475,8.51,12.05,37764012.0,8.22075,0.8656666666666665
EST,1865,0.0,0.0,0.01,0.001,0.01,0.0,0.015,0.009,0.0,0.065,0.0,-4.42,573741.0,4.126166666666667,0.9105
